pair,price,today_high,today_low,change_from_prev_close,adr_used_pct,adr_used,adr_remaining,price_zone,prev_high,prev_low,prev_close_ny,pivot,r1,r2,s1,s2,adr20,adr20_pips,atr14,atr14_pips,atr_sl_1_0,atr_sl_1_5,prev_day_range_pct,dxy,dxy_change_pct,us2y,us2y_change,us10y,us10y_change,vix,vix_change_pct,daily_as_of,intraday_as_of
USDJPY,163.696,163.941,163.662,-0.174,38.8,0.278,0.439,Pivot_to_R1,163.98,163.005,163.87,163.619,164.232,164.593,163.257,162.644,0.717,72,0.662,66,0.662,0.993,136,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
EURUSD,1.13907,1.14,1.13745,0.00128,48.2,0.00255,0.00274,S1_to_Pivot,1.14363,1.13645,1.13779,1.13929,1.14213,1.14647,1.13495,1.13211,0.00529,53,0.00532,53,0.00532,0.00798,135.7,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
GBPUSD,1.33166,1.33442,1.33071,0.00016,48.8,0.00371,0.0039,S1_to_Pivot,1.33937,1.33003,1.3315,1.33363,1.33724,1.34297,1.3279,1.32429,0.00761,76,0.00783,78,0.00783,0.01175,122.7,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
EURJPY,186.469,186.61,186.347,0.021,32.4,0.263,0.551,Pivot_to_R1,186.726,186.046,186.448,186.407,186.768,187.087,186.087,185.726,0.814,81,0.774,77,0.774,1.161,83.5,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
AUDUSD,0.69919,0.69927,0.6965,0.00238,65.6,0.00277,0.00145,Pivot_to_R1,0.70211,0.69623,0.69681,0.69838,0.70054,0.70426,0.69466,0.6925,0.00422,42,0.00446,45,0.00446,0.00669,139.3,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
EURGBP,0.85537,0.85538,0.85387,0.00085,43.9,0.00151,0.00193,R1_to_R2,0.85478,0.85275,0.85452,0.85402,0.85528,0.85605,0.85325,0.85199,0.00344,34,0.00327,33,0.00327,0.0049,59,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
USDCAD,1.40793,1.40873,1.40656,-0.00057,41.5,0.00217,0.00306,S1_to_Pivot,1.41001,1.40579,1.4085,1.4081,1.41041,1.41232,1.40619,1.40388,0.00523,52,0.00538,54,0.00538,0.00807,80.7,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
USDCHF,0.81645,0.8176,0.81538,-0.00046,44.5,0.00222,0.00277,Pivot_to_R1,0.81781,0.81303,0.81691,0.81592,0.8188,0.8207,0.81402,0.81114,0.00499,50,0.00505,51,0.00505,0.00758,95.8,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
NZDUSD,0.57869,0.57908,0.57681,0.00157,51.2,0.00227,0.00216,Pivot_to_R1,0.58232,0.57626,0.57712,0.57857,0.58087,0.58463,0.57481,0.57251,0.00443,44,0.0047,47,0.0047,0.00705,136.8,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
AUDNZD,1.20826,1.20854,1.20546,0.00095,49.9,0.00308,0.00309,Pivot_to_R1,1.20901,1.20126,1.20731,1.20586,1.21046,1.21361,1.20271,1.19811,0.00617,62,0.00644,64,0.00644,0.00966,125.6,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
XAUUSD,4060.76,4060.91,4022.09,11.24,41.6,38.82,54.58,S1_to_Pivot,4141.06,4040.27,4049.52,4076.95,4113.63,4177.74,4012.83,3976.15,93.4,934,95.76,958,95.76,143.64,107.9,101.37,-0.06,4.035,0.002,4.703,0.046,18.64,-0.32,2026-07-24T19:09:12+09:00,2026-07-24T19:06:30+09:00
