date,pair,session_date,prev_high,prev_low,close_ny,adr20,atr14,pivot,r1,r2,s1,s2
2026-07-15,USDJPY,2026-07-14,162.486,161.641,162.272,0.693,0.698,162.133,162.625,162.979,161.78,161.288
2026-07-15,EURUSD,2026-07-14,1.1462,1.13784,1.14211,0.00465,0.00483,1.14205,1.14626,1.15041,1.1379,1.13369
2026-07-15,GBPUSD,2026-07-14,1.34382,1.33408,1.33916,0.00551,0.0059,1.33902,1.34396,1.34876,1.33422,1.32928
2026-07-15,EURJPY,2026-07-14,185.904,184.812,185.333,0.856,0.882,185.349,185.887,186.441,184.795,184.258
2026-07-15,AUDUSD,2026-07-14,0.6992,0.69133,0.69744,0.00342,0.00373,0.69599,0.70065,0.70386,0.69278,0.68812
2026-07-15,EURGBP,2026-07-14,0.85611,0.85161,0.85289,0.00277,0.00279,0.85354,0.85546,0.85804,0.85096,0.84904
2026-07-15,XAUUSD,2026-07-14,4099.2,3985.81,4052.83,71.08,74.91,4045.95,4106.09,4159.34,3992.69,3932.56
2026-07-16,USDJPY,2026-07-15,162.423,161.897,162.196,0.7,0.688,162.172,162.447,162.699,161.921,161.646
2026-07-16,EURUSD,2026-07-15,1.14818,1.14068,1.14633,0.00474,0.00502,1.14506,1.14945,1.15256,1.14195,1.13756
2026-07-16,GBPUSD,2026-07-15,1.35583,1.33784,1.35393,0.00605,0.00679,1.3492,1.36056,1.36719,1.34257,1.33121
2026-07-16,EURJPY,2026-07-15,186.026,185.203,185.931,0.865,0.88,185.72,186.237,186.543,185.414,184.897
2026-07-16,AUDUSD,2026-07-15,0.70212,0.69694,0.70069,0.00347,0.00384,0.69992,0.70289,0.7051,0.69771,0.69474
2026-07-16,EURGBP,2026-07-15,0.85385,0.84536,0.84671,0.00309,0.0032,0.84864,0.85192,0.85713,0.84343,0.84015
2026-07-16,XAUUSD,2026-07-15,4080.35,4016.65,4060.43,70.25,74.21,4052.48,4088.3,4116.17,4024.6,3988.78
2026-07-17,USDJPY,2026-07-16,162.548,162.005,162.379,0.711,0.677,162.311,162.616,162.854,162.073,161.768
2026-07-17,EURUSD,2026-07-16,1.1477,1.14313,1.14431,0.00457,0.005,1.14505,1.14696,1.14962,1.14239,1.14048
2026-07-17,GBPUSD,2026-07-16,1.3546,1.34601,1.34802,0.00622,0.00692,1.34954,1.35308,1.35813,1.34449,1.34095
2026-07-17,EURJPY,2026-07-16,186.027,185.716,185.807,0.825,0.84,185.85,185.984,186.161,185.673,185.539
2026-07-17,AUDUSD,2026-07-16,0.70123,0.69868,0.69981,0.00339,0.00374,0.69991,0.70113,0.70246,0.69858,0.69736
2026-07-17,EURGBP,2026-07-16,0.84936,0.84651,0.8489,0.00303,0.00318,0.84826,0.85,0.85111,0.84715,0.84541
2026-07-17,XAUUSD,2026-07-16,4068.68,3969,3976.78,69.67,76.2,4004.82,4040.64,4104.5,3940.96,3905.14
